央视 ,#genre#
CCTV-1 综合,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-1 综合,http://gzly.hkychina.com:6001/rtp/239.252.219.200:5140?Cf=cfss.cc
CCTV-1 综合,http://123.118.51.157:8888/rtp/239.3.1.129:8008
CCTV-1 综合,http://1.198.26.192:808/hls/1/index.m3u8
CCTV-1 综合,http://stream.smntv.cn/smtv1/sd/live.m3u8
CCTV-1 综合,http://121.27.126.103:809/hls/1/index.m3u8
CCTV-1 综合,http://183.165.129.104:8888/udp/238.1.78.166:7200
CCTV-1 综合,http://121.27.126.107:809/hls/1/index.m3u8
CCTV-1 综合,http://116.21.123.201:8000/udp/239.77.1.17:5146
CCTV-1 综合,http://123.182.215.81:8088/tsfile/live/faacts/0001_1.m3u8
CCTV-2 财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2 财经,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://183.165.129.104:8888/udp/238.1.78.235:7752
CCTV-2 财经,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2 财经,http://114.253.74.208:8686/rtp/239.3.1.60:8084
CCTV-2 财经,http://123.118.51.157:8888/rtp/239.3.1.60:8084
CCTV-2 财经,http://gzly.hkychina.com:6001/rtp/239.252.220.183:5140?Cf=cfss.cc
CCTV-2 财经,http://121.27.126.103:809/hls/2/index.m3u8
CCTV-2 财经,http://116.21.123.201:8000/udp/239.77.1.158:5146
CCTV-2 财经,http://171.117.121.137:8085/rtp/226.0.2.154:9144
CCTV-3 综艺,http://183.165.129.104:8888/udp/238.1.78.170:7232
CCTV-3 综艺,http://111.74.155.231:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3 综艺,http://gzly.hkychina.com:6001/rtp/239.252.219.252:5140?Cf=cfss.cc
CCTV-3 综艺,http://gzly.hkychina.com:6001/rtp/239.252.220.193:5140?Cf=cfss.cc
CCTV-3 综艺,http://121.27.126.103:809/hls/3/index.m3u8
CCTV-3 综艺,http://123.182.215.81:8088/tsfile/live/0003_1.m3u8
CCTV-3 综艺,http://121.27.126.129:809/hls/3/index.m3u8
CCTV-3 综艺,http://116.21.123.201:8000/udp/239.77.0.169:5146
CCTV-3 综艺,http://121.27.126.107:809/hls/3/index.m3u8
CCTV-3 综艺,http://27.11.249.135:8003/udp/225.0.4.142:7980
CCTV-4 中文国际,http://183.165.129.104:8888/udp/238.1.78.236:7760
CCTV-4 中文国际,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-4 中文国际,http://gzly.hkychina.com:6001/rtp/239.252.219.192:5140?Cf=cfss.cc
CCTV-4 中文国际,http://gzly.hkychina.com:6001/rtp/239.252.219.193:5140?Cf=cfss.cc
CCTV-4 中文国际,http://114.253.74.208:8686/rtp/239.3.1.214:4220
